title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST2582/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,34,Brettenwood,,,,2020-02-03,0,179,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2583/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,35,Brettenwood,,,,2020-02-03,0,192,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST2602/2020,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,35,Brettenwood,,,2018-02-21,2020-02-03,2500000,192,13020,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
T1733/2020,Brettenwood Coastal Estate,BRETTENWOOD,177,0,,,Brettenwood,Heron,177,,2020-01-28,0,748,0,False,natural_person,natural_person,1,freehold,False,lightstone_export
T685/2020,Brettenwood Coastal Estate,BRETTENWOOD,501,0,,,Brettenwood,Plover,501,2019-10-04,2020-01-17,1750000,982,1782,True,natural_person,natural_person,1,freehold,False,lightstone_export
T38627/2019,Brettenwood Coastal Estate,BRETTENWOOD,196,0,,,Brettenwood,Kingfisher,196,2019-09-15,2019-12-10,1750000,1452,1205,True,legal_entity,natural_person,1,freehold,False,lightstone_export
T36332/2019,Brettenwood Coastal Estate,BRETTENWOOD,52,0,,,Brettenwood,Fish Eagle,52,2019-08-22,2019-11-25,2200000,1056,2083,True,natural_person,legal_entity,2,freehold,False,lightstone_export
T36337/2019,Brettenwood Coastal Estate,BRETTENWOOD,303,0,,,Brettenwood,Fish Eagle,50,2019-08-22,2019-11-25,7800000,2186,3568,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T35104/2019,Brettenwood Coastal Estate,BRETTENWOOD,159,0,,,Brettenwood,Falcons,159,2019-09-18,2019-11-13,1750000,1102,1588,True,natural_person,legal_entity,1,freehold,False,lightstone_export
T34922/2019,Brettenwood Coastal Estate,BRETTENWOOD,46,0,,,Brettenwood,Fish Eagle,46,2018-10-10,2019-11-12,5940000,1015,5852,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T33395/2019,Brettenwood Coastal Estate,BRETTENWOOD,202,0,,,Brettenwood,Kingfisher,202,2019-09-27,2019-10-29,4900000,746,6568,False,natural_person,natural_person,2,freehold,True,lightstone_export
T32801/2019,Brettenwood Coastal Estate,BRETTENWOOD,299,0,,,Brettenwood,Plover,299,2019-09-04,2019-10-23,1615000,1444,1118,True,natural_person,,2,freehold,False,lightstone_export
T32375/2019,Brettenwood Coastal Estate,BRETTENWOOD,16,0,,,Brettenwood,Malachite,16,2019-02-04,2019-10-21,6000000,989,6066,False,natural_person,natural_person,2,freehold,True,lightstone_export
T31855/2019,Brettenwood Coastal Estate,BRETTENWOOD,8,0,,,Brettenwood,Sunbird,8,2019-06-08,2019-10-16,8250000,3142,2625,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST31233/2019,Brettenwood Coastal Estate,BRETTENWOOD,131,0,SS BRETTENWOOD LAKES,22,Brettenwood,,,2019-07-30,2019-10-10,2250000,131,17175,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T28570/2019,Brettenwood Coastal Estate,BRETTENWOOD,180,0,,,Brettenwood,Heron,180,2019-06-28,2019-09-23,3950000,594,6649,False,natural_person,natural_person,1,freehold,True,lightstone_export
T28611/2019,Brettenwood Coastal Estate,BRETTENWOOD,246,0,,,Brettenwood,,,2019-02-10,2019-09-23,1570000,1012,1551,True,natural_person,legal_entity,1,freehold,False,lightstone_export
T28714/2019,Brettenwood Coastal Estate,BRETTENWOOD,43,0,,,Brettenwood,Fish Eagle,43,2019-07-31,2019-09-20,1600000,1158,1381,True,natural_person,natural_person,1,freehold,False,lightstone_export
T28316/2019,Brettenwood Coastal Estate,BRETTENWOOD,163,0,,,Brettenwood,Kingfisher,163,2019-06-15,2019-09-19,4700000,1043,4506,False,natural_person,natural_person,2,freehold,True,lightstone_export
T27554/2019,Brettenwood Coastal Estate,BRETTENWOOD,168,0,,,Brettenwood,Kingfisher,168,2019-06-08,2019-09-13,5400000,843,6405,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T25946/2019,Brettenwood Coastal Estate,BRETTENWOOD,221,7,,,Brettenwood,Hornbill,7,2019-03-22,2019-08-30,1530000,901,1698,True,natural_person,legal_entity,2,freehold,False,lightstone_export
T25842/2019,Brettenwood Coastal Estate,BRETTENWOOD,6,0,,,Brettenwood,Sunbird,6,2019-06-01,2019-08-29,2950000,4190,704,True,legal_entity,legal_entity,1,freehold,False,lightstone_export
