title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
T10863/2021,Ballito,BALLITOVILLE EXT 3,1351,0,,,Ballito,Avondale,5,2021-02-12,2021-04-19,3500000,939,3727,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST10410/2021,Ballito,BALLITOVILLE EXT 3,1417,0,SS CAIRNGORM,3,Ballito,Avondale,3,2021-02-19,2021-04-13,3250000,409,7946,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
T9930/2021,Ballito,BALLITOVILLE,605,0,,,Ballito,Townsend,35,2020-10-21,2021-04-07,2990000,1025,2917,False,natural_person,natural_person,1,freehold,True,lightstone_export
T9526/2021,Ballito,BALLITOVILLE,2671,0,,,Ballito,Woodview,10,2021-01-25,2021-03-31,1800000,397,4534,False,natural_person,natural_person,1,freehold,True,lightstone_export
T9289/2021,Ballito,BALLITOVILLE,63,0,,,Ballito,Minerva,22A,2020-11-24,2021-03-30,1700000,1049,1620,False,natural_person,natural_person,2,freehold,True,lightstone_export
T5630/2021,Ballito,BALLITOVILLE,513,0,,,Ballito,Elizabeth,20,2020-12-16,2021-03-08,3750000,1012,3705,False,natural_person,natural_person,2,freehold,True,lightstone_export
T5659/2021,Ballito,BALLITOVILLE,1991,0,,,Ballito,Forestview,14,2020-10-13,2021-03-08,1930000,377,5119,False,natural_person,natural_person,1,freehold,True,lightstone_export
T5104/2021,Ballito,BALLITOVILLE,2683,0,,,Ballito,Woodview,22,2020-11-12,2021-03-04,2150000,427,5035,False,natural_person,natural_person,2,freehold,True,lightstone_export
T4581/2021,Ballito,BALLITOVILLE,31,0,,,Ballito,Compensation,30,2020-08-19,2021-02-26,5125000,1185,4324,False,natural_person,legal_entity,2,freehold,True,lightstone_export
ST4204/2021,Ballito,FU,931,501,SS DRIFTWOOD,12,Ballito,Compensation Beach,56B,2020-12-18,2021-02-24,3250000,176,18465,False,legal_entity,legal_entity,2,sectional_title,True,lightstone_export
ST3779/2021,Ballito,BALLITOVILLE EXT 3,1415,0,SS ELLIS PLACE MEWS,4,Ballito,Ellis,23,2020-10-12,2021-02-22,2100000,179,11731,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T3295/2021,Ballito,BALLITOVILLE EXT 3,1329,0,,,Ballito,Ellis,16,2021-01-13,2021-02-17,5316250,1194,4452,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T3132/2021,Ballito,BALLITOVILLE,519,0,,,Ballito,Allen,6,2020-11-26,2021-02-16,2450000,1013,2418,False,natural_person,natural_person,2,freehold,True,lightstone_export
T3089/2021,Ballito,BALLITOVILLE,39,0,,,Ballito,Compensation,44,2020-11-14,2021-02-16,3450000,1080,3194,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T2328/2021,Ballito,BALLITOVILLE,511,0,,,Ballito,Elizabeth,24,2020-11-05,2021-02-09,3450000,1012,3409,False,natural_person,natural_person,1,freehold,True,lightstone_export
T2116/2021,Ballito,BALLITOVILLE EXT 3,1414,0,,,Ballito,Ellis,21,2020-12-01,2021-02-05,4800000,1345,3568,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T10/2021,Ballito,BALLITOVILLE,509,0,,,Ballito,Elizabeth,28,2020-10-05,2021-01-05,2075000,1012,2050,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T42919/2020,Ballito,BALLITOVILLE,497,0,,,Ballito,Ashley,13B,2020-07-19,2020-12-22,3100000,1012,3063,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST42977/2020,Ballito,FU,931,399,SS LA MER,8,Ballito,Compensation Beach,58,2020-09-08,2020-12-22,2600000,127,20472,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST41705/2020,Ballito,BALLITOVILLE EXT 3,1431,0,SS THE DUNES,210,Ballito,Avondale,1431,2020-09-09,2020-12-15,2800000,211,13270,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST40591/2020,Ballito,FU,931,479,SS BALLITO ROCKS,4,Ballito,Compensation Beach,56A,2020-09-03,2020-12-03,2800000,145,19310,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
T39972/2020,Ballito,BALLITOVILLE,571,0,,,Ballito,Elizabeth,1D,2020-06-15,2020-11-30,2250000,1268,1774,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T39692/2020,Ballito,BALLITOVILLE,2706,0,,,Ballito,Tucano,19,2020-10-05,2020-11-27,2100000,552,3804,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T39441/2020,Ballito,BALLITOVILLE,16,0,,,Ballito,Compensation,21,2020-09-03,2020-11-26,11500000,1013,11352,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T38909/2020,Ballito,BALLITOVILLE,2709,0,,,Ballito,Tucano,22,2020-08-26,2020-11-23,2100000,364,5769,False,natural_person,natural_person,1,freehold,True,lightstone_export
T38866/2020,Ballito,BALLITOVILLE EXT 3,1319,0,,,Ballito,,,2020-09-08,2020-11-23,950000,902,1053,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST38725/2020,Ballito,FU,931,501,SS DRIFTWOOD,7,Ballito,Compensation Beach,56B,2020-09-22,2020-11-20,3350000,183,18306,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
T38193/2020,Ballito,BALLITOVILLE,2668,0,,,Ballito,Woodview,7,2020-08-19,2020-11-19,2100000,454,4625,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST37717/2020,Ballito,FU,931,399,SS LA MER,2,Ballito,Compensation Beach,58,2020-09-30,2020-11-16,1680000,110,15272,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T37371/2020,Ballito,BALLITOVILLE,65,0,,,Ballito,Minerva,18,2020-07-27,2020-11-13,2950000,1017,2900,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T36834/2020,Ballito,BALLITOVILLE,451,0,,,Ballito,Patricia,41,2020-05-20,2020-11-10,3600000,1012,3557,False,natural_person,natural_person,1,freehold,True,lightstone_export
T35763/2020,Ballito,BALLITOVILLE,467,0,,,Ballito,Ashley,20B,2020-08-17,2020-11-03,3650000,1019,3581,False,natural_person,legal_entity,2,freehold,True,lightstone_export
ST35515/2020,Ballito,BALLITOVILLE,1423,0,SS RIDGEVIEW,9,Ballito,Celtis,1,2020-08-21,2020-10-30,1850000,119,15546,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T34626/2020,Ballito,BALLITOVILLE,466,0,,,Ballito,Ashley,22A,2020-07-22,2020-10-26,5350000,1014,5276,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T32577/2020,Ballito,BALLITOVILLE,521,0,,,Ballito,Townsend,66,2020-07-10,2020-10-09,2860000,1017,2812,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST31617/2020,Ballito,BALLITOVILLE,1423,0,SS RIDGEVIEW,8,Ballito,Celtis,1,2020-07-28,2020-10-01,1995000,118,16906,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T30108/2020,Ballito,BALLITOVILLE,2635,0,,,Ballito,Avonhills,3,2020-07-19,2020-09-22,2090000,496,4213,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T30071/2020,Ballito,BALLITOVILLE,597,0,,,Ballito,Townsend,19,2020-07-17,2020-09-21,2500000,1022,2446,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T29413/2020,Ballito,BALLITOVILLE,2690,0,,,Ballito,Tucano,2,2020-07-19,2020-09-17,2050000,517,3965,False,natural_person,natural_person,2,freehold,True,lightstone_export
T28874/2020,Ballito,BALLITOVILLE,41,0,,,Ballito,David,56,2020-06-23,2020-09-15,3400000,1022,3326,False,natural_person,natural_person,1,freehold,True,lightstone_export
T27995/2020,Ballito,BALLITOVILLE EXT 3,1339,0,,,Ballito,Ellis,19,2020-03-01,2020-09-09,3500000,990,3535,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST26986/2020,Ballito,FU,931,399,SS LA MER,13,Ballito,Compensation Beach,58,2020-06-20,2020-09-01,1720000,100,17200,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T26531/2020,Ballito,BALLITOVILLE,499,0,,,Ballito,Ashley,17A,2020-07-01,2020-08-28,2100000,1012,2075,False,natural_person,legal_entity,1,freehold,True,lightstone_export
ST25643/2020,Ballito,BALLITOVILLE,1423,0,SS RIDGEVIEW,6,Ballito,Celtis,1,2020-06-08,2020-08-21,1750000,118,14830,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
