title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST3649/2025,Dunkirk Estate,DUNKIRK ESTATE,21,0,SS THE DUEX,2,Dunkirk Estate,Hillside,21,2024-09-26,2025-02-21,5050000,355,14225,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T1968/2025,Dunkirk Estate,DUNKIRK ESTATE,173,0,,,Dunkirk Estate,Short,173,2024-12-15,2025-01-31,6100000,455,13406,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T34618/2024,Dunkirk Estate,DUNKIRK ESTATE,87,0,,,Dunkirk Estate,Sameja,87,2024-10-23,2024-12-06,7250000,1189,6097,False,natural_person,natural_person,1,freehold,True,lightstone_export
T34271/2024,Dunkirk Estate,DUNKIRK ESTATE,85,0,,,Dunkirk Estate,Sameja,85,2024-11-01,2024-12-04,10000000,1108,9025,False,natural_person,natural_person,1,freehold,True,lightstone_export
T33119/2024,Dunkirk Estate,DUNKIRK ESTATE,190,0,,,Dunkirk Estate,Toleda,190,2024-08-21,2024-11-25,5750000,523,10994,False,natural_person,natural_person,2,freehold,True,lightstone_export
T29658/2024,Dunkirk Estate,DUNKIRK ESTATE,157,0,,,Dunkirk Estate,Ashwood,6,,2024-10-25,0,398,0,False,natural_person,natural_person,1,freehold,False,lightstone_export
T26831/2024,Dunkirk Estate,DUNKIRK ESTATE,194,0,,,Dunkirk Estate,,,2024-06-27,2024-09-26,5480000,609,8998,False,natural_person,natural_person,1,freehold,True,lightstone_export
T26129/2024,Dunkirk Estate,DUNKIRK ESTATE,145,0,,,Dunkirk Estate,Sameja,145,2024-06-10,2024-09-18,6700000,783,8556,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST23145/2024,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,28,Dunkirk Estate,,,2024-05-30,2024-08-21,3500000,154,22727,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST23145/2024,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,68,Dunkirk Estate,,,2024-05-30,2024-08-21,3500000,19,184210,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST22135/2024,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,23,Dunkirk Estate,Sameja,96,2024-05-27,2024-08-08,3630000,230,15782,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T21919/2024,Dunkirk Estate,DUNKIRK ESTATE,144,0,,,Dunkirk Estate,Sameja,144,2024-05-13,2024-08-07,4325000,823,5255,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST20849/2024,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,3,Dunkirk Estate,,,2024-05-20,2024-07-26,3050000,113,26991,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST20849/2024,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,51,Dunkirk Estate,,,2024-05-20,2024-07-26,3050000,18,169444,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T20570/2024,Dunkirk Estate,DUNKIRK ESTATE,90,0,,,Dunkirk Estate,Sameja,90,2024-04-23,2024-07-24,7000000,819,8547,False,natural_person,natural_person,1,freehold,True,lightstone_export
T17629/2024,Dunkirk Estate,DUNKIRK ESTATE,168,0,,,Dunkirk Estate,Short,168,2024-02-27,2024-06-28,5700000,448,12723,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T15250/2024,Dunkirk Estate,DUNKIRK ESTATE,153,0,,,Dunkirk Estate,Ashwood,2,2024-04-19,2024-06-10,3480000,416,8365,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T8864/2024,Dunkirk Estate,DUNKIRK ESTATE,205,0,,,Dunkirk Estate,,,2023-12-14,2024-04-15,8500000,637,13343,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST8863/2024,Dunkirk Estate,DUNKIRK ESTATE,208,0,SS SAXONWOOD,9,Dunkirk Estate,,,2024-02-19,2024-04-15,7550000,434,17396,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
T7583/2024,Dunkirk Estate,DUNKIRK ESTATE,122,0,,,Dunkirk Estate,Sameja,122,2023-12-21,2024-04-03,9100000,1151,7906,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T7165/2024,Dunkirk Estate,DUNKIRK ESTATE,204,0,,,Dunkirk Estate,,,2023-12-18,2024-03-27,6850000,534,12827,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST7266/2024,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,1,Dunkirk Estate,,,2024-01-26,2024-03-27,2636000,113,23327,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
